ID,Titulo,Autores,Año,DOI,Introduccion,Metodologia,Analisis_Requerimientos,Entorno_Experimental,Tamaño_Dataset,Metricas_Rendimiento,Limitaciones,Discusiones,Implementacion_Software,Conclusion,Referencia_BibTeX,Accuracy_Num,Tipo_Publicacion,Venue,Metodologia_Categorizada,Dataset_Tipo,Metodologia_2x2,Metodologia_3x3,Periodo_Año,Entorno_3x3,Implementacion_Cruce,Limitacion_Cruce
179,Research on Safe Driving Evaluation Method Based on Machine Vision and Long Short-Term Memory Network,"Dongmei Shi, Hongyu Tang",2021,10.1155/2021/9955079,"The rapid development of transportation industry has brought some potential safety hazards. Aiming at the problem of driving safety, the application of artificial intelligence technology in safe driving behavior recognition can effectively reduce the accident rate and economic losses.","SSD, CNN (Redes Convolucionales), LSTM",,,,,,"Compared with CNN, SSD, IDT, and dual-stream recognition methods, the accuracy rate of this method can be improved by at least 1.4%, and the average absolute error in four video sequences can be improved by more than 2%.",,The improved dual-stream AM-LSTM convolutional network method improves safe driving behavior recognition accuracy by at least 1.4% and has practical application value.,"@article{shi2021research, author={Dongmei Shi and Hongyu Tang}, title={Research on Safe Driving Evaluation Method Based on Machine Vision and Long Short-Term Memory Network}, journal={J. Electr. Comput. Eng.}, year={2021}, doi={10.1155/2021/9955079}}",,Revista Científica (Journal),J. Electr. Comput. Eng.,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,No especificado
180,The Improvement of Road Driving Safety Guided by Visual Inattentional Blindness,"Jiawei Xu, S. Park, Xiaoqin Zhang, Jie Hu",2021,10.1109/tits.2020.3044927,"In experiments using this database, expert drivers found that it was not sufficient for drivers to rely on only one of the two EFLs. Based on this finding, a hybrid EFL recommendation strategy is proposed for improving driving safety. In addition, the visual comfort of driving is further addressed to enhance the safety of driving.",,,,,,,,,"A hybrid eye fixation location recommendation strategy, combining driver's eye fixation and computational visual attention models, improves driving safety and comfort in common driving conditions.","@article{xu2021improvement, author={Jiawei Xu and S. Park and Xiaoqin Zhang and Jie Hu}, title={The Improvement of Road Driving Safety Guided by Visual Inattentional Blindness}, journal={IEEE Transactions on Intelligent Transportation Systems}, year={2021}, doi={10.1109/tits.2020.3044927}}",,Revista Científica (Journal),IEEE Transactions on Intelligent Transportation Systems,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,No especificado,No especificado,No especificado
181,Identification of Driving Safety Profiles in Vehicle to Vehicle Communication System Based on Vehicle OBD Information,"H. A. Ameen, A. Mahamad, S. Saon, R. Q. Malik, Z. H. Kareem, Mohd Anuaruddin Bin Ahmadon, S. Yamaguchi",2021,10.3390/info12050194,"Driver behavior is a determining factor in more than 90% of road accidents. Consequently, there is a significant benefit in identifying drivers who engage in unsafe driving practices to enhance road safety.",,,,,90% accuracy,,,,"The proposed driving behavior analysis method accurately categorizes drivers into safe, normal, aggressive, and dangerous categories, enhancing road safety with an average of 90% accuracy in various driving scenarios.","@article{ameen2021identification, author={H. A. Ameen and A. Mahamad and S. Saon and R. Q. Malik and Z. H. Kareem and Mohd Anuaruddin Bin Ahmadon and S. Yamaguchi}, title={Identification of Driving Safety Profiles in Vehicle to Vehicle Communication System Based on Vehicle OBD Information}, journal={Inf.}, year={2021}, doi={10.3390/info12050194}}",90.0,Revista Científica (Journal),Inf.,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,No especificado,No especificado,No especificado
182,Unmanned Aerial Multi-Object Dynamic Frame Detection and Skipping Using Deep Learning on the Internet of Drones,"Usman Ahmed, Chun-Wei Lin, Gautam Srivastava",2021,10.1109/iotm.001.2100088,"Traffic regulations face enormous challenges due to rapid growth in the number of vehicles. However, the main difficulty lies in picture quality due to lighting conditions, the angle of view, and the physical structure of vehicles.",Deep Learning,,UAV / Drones,,,The model is trained with a deep learning approach to first align the video frame and then detect the object in a top-down aerial drone video.,,,"This research develops a deep-learning-based system that accurately detects, classifies, and counts transport vehicles in real-time traffic congestion using multiple drone video feeds and vehicle information.","@article{ahmed2021unmanned, author={Usman Ahmed and Chun-Wei Lin and Gautam Srivastava}, title={Unmanned Aerial Multi-Object Dynamic Frame Detection and Skipping Using Deep Learning on the Internet of Drones}, journal={IEEE Internet of Things Magazine}, year={2021}, doi={10.1109/iotm.001.2100088}}",,Revista Científica (Journal),IEEE Internet of Things Magazine,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,Drones / UAV,No especificado,Otros
183,Real-time image enhancement for an automatic automobile accident detection through CCTV using deep learning,"Manu S. Pillai, Gopal Chaudhary, Manju Khari, R. G. Crespo",2021,10.1007/s00500-021-05576-w,Almost all of the automatic accident detection (AAD) system suffers from the tradeoff between computational overhead and detection accuracy.,"YOLO, SVM, Deep Learning, Machine Learning",This paper proposes a methodology to develop a reliable and computationally inexpensive real-time automatic accident detection system that can be deployed with minimum hardware requirements.,Videovigilancia / CCTV,28 frames,"28 frames per second, 12.73 ms","For the detection stage, we propose Mini-YOLO, a deep learning model architecture trained using knowledge distillation that has comparable accuracy with its counterpart YOLO(You-Only-Look-Once) with reduced model size and computational overhead.",,CCTV / Cámaras,"Mini-YOLO, SORT, and a support vector machine with radial basis kernel effectively detect automobile accidents in real-time with minimal computational resources.","@article{pillai2021realtime, author={Manu S. Pillai and Gopal Chaudhary and Manju Khari and R. G. Crespo}, title={Real-time image enhancement for an automatic automobile accident detection through CCTV using deep learning}, journal={Soft Computing}, year={2021}, doi={10.1007/s00500-021-05576-w}}",,Revista Científica (Journal),Soft Computing,Híbrido (ML + DL),Video / Frames,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,Cámaras (CCTV),Cámaras / CCTV,Otros
184,Effective Anomaly Detection Using Deep Learning in IoT Systems,"L. Aversano, M. Bernardi, Marta Cimitile, R. Pecori, L. Veltri",2021,10.1155/2021/9054336,"In this paper, we tackle the emerging anomaly detection problem in IoT, by integrating five different datasets of abnormal IoT traffic and evaluating them with a deep learning approach capable of identifying both normal and malicious IoT traffic as well as different types of anomalies.","Autoencoder, Deep Learning",,,,,,,,"Deep learning techniques effectively detect anomalies in IoT traffic, even in noisy scenarios.","@article{aversano2021effective, author={L. Aversano and M. Bernardi and Marta Cimitile and R. Pecori and L. Veltri}, title={Effective Anomaly Detection Using Deep Learning in IoT Systems}, journal={Wireless Communications and Mobile Computing}, year={2021}, doi={10.1155/2021/9054336}}",,Revista Científica (Journal),Wireless Communications and Mobile Computing,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,No especificado
185,Deep learning based detection and localization of road accidents from traffic surveillance videos,"Karishma Pawar, V. Attar",2021,10.1016/j.icte.2021.11.004,,Deep Learning,,,,,,,,"This deep learning approach effectively detects and localizes road accidents in traffic surveillance videos, achieving significant results both qualitatively and quantitatively.","@article{pawar2021deep, author={Karishma Pawar and V. Attar}, title={Deep learning based detection and localization of road accidents from traffic surveillance videos}, journal={ICT Express}, year={2021}, doi={10.1016/j.icte.2021.11.004}}",,Revista Científica (Journal),ICT Express,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,No especificado
186,Deep Neural Networks Based Object Detection for Road Safety Using YOLO-V3,"Jalaja Tattari, Vineeth Reddy Donthi, Dheeraj Mukirala, S. Kour",2021,10.1007/978-981-16-0878-0_71,"Traffic safety plays a pivotal role in the society, and hence, there is a grave need for streamlining the protocols and measures taken in our country. This paper gives a comprehensive solution to the situation at hand, a new approach to 'road safety' based on seatbelt and helmet object detection using deep neural networks.","YOLO, CNN (Redes Convolucionales), Deep Learning, Machine Learning",,Videovigilancia / CCTV,,accuracy of 86.3,,"The developed model is very versatile, compact, and was tested on various edge cases after which the model achieved an overall accuracy of 86.3% which was on a higher note compared to the previous works. The YOLO-V3 deep neural network-based algorithm accurately detects seatbelt and helmet objects in real-time, improving road safety with an overall accuracy of 86.3% compared to previous works.",CCTV / Cámaras,"The YOLO-V3 deep neural network-based algorithm accurately detects seatbelt and helmet objects in real-time, improving road safety with an overall accuracy of 86.3% compared to previous works.","@article{tattari2021deep, author={Jalaja Tattari and Vineeth Reddy Donthi and Dheeraj Mukirala and S. Kour}, title={Deep Neural Networks Based Object Detection for Road Safety Using YOLO-V3}, journal={Smart Computing Techniques and Applications}, year={2021}, doi={10.1007/978-981-16-0878-0_71}}",86.3,Revista Científica (Journal),Smart Computing Techniques and Applications,Híbrido (ML + DL),No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2020 - 2022,Cámaras (CCTV),Cámaras / CCTV,No especificado
187,Object Detection Using Deep Learning Methods in Traffic Scenarios,"A. Boukerche, Zhijun Hou",2021,10.1145/3434398,"However, even with such powerful approaches, traffic scenarios have their own specific challenges, such as real-time detection, changeable weather, and complex lighting conditions.",Deep Learning,,,,,"Designed to classify and locate instances in the image, this is a basic but challenging task in the computer vision field. However, even with such powerful approaches, traffic scenarios have their own specific challenges, such as real-time detection, changeable weather, and complex lighting conditions.",,,"Deep learning has made significant progress in object detection in traffic scenarios, but real-time detection, changeable weather, and complex lighting conditions require further research.","@article{boukerche2021object, author={A. Boukerche and Zhijun Hou}, title={Object Detection Using Deep Learning Methods in Traffic Scenarios}, journal={ACM Computing Surveys (CSUR)}, year={2021}, doi={10.1145/3434398}}",,Revista Científica (Journal),ACM Computing Surveys (CSUR),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,No especificado,No especificado,Otros
188,A deep neural network approach for detecting wrong-way driving incidents on highway roads,"Landry Kezebou, Victor Oludare, K. Panetta, S. Agaian",2021,10.1117/12.2586039,"As such, recent methods which explored alternative deep learning approach for solving this problem have been shown to exhibit a high rate of false detection and consider very limited settings e.g. exit ramps.","YOLOv5, Deep Learning",,Videovigilancia / CCTV,,,,,CCTV / Cámaras,"Our deep neural network framework effectively detects wrong-way driving on highways, reducing cognitive load on traffic control agents and leveraging existing camera infrastructure.","@article{kezebou2021deep, author={Landry Kezebou and Victor Oludare and K. Panetta and S. Agaian}, title={A deep neural network approach for detecting wrong-way driving incidents on highway roads}, journal={No especificado}, year={2021}, doi={10.1117/12.2586039}}",,Revista Científica (Journal),,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2020 - 2022,Cámaras (CCTV),Cámaras / CCTV,No especificado
